Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield,Yield (predicted),P-O,(P-O)^2
1,135.6,99.2,19.5,26.8,704,317,14.7,1.757,2.1191268,0.3621268,0.13113581927824
2,134.8,97.3,19.1,18.6,752,314,12.1,1.916,2.1039984,0.1879984,0.03534339840256
3,130.7,95.3,18.7,26.2,813,322,12.1,2.161,2.155814,-0.005186,2.68945960000014E-05
4,137,99.8,19.2,25.7,544,276,13.3,1.402,1.880127,0.478127,0.228605428129
5,128.3,91.8,19.4,22.8,860,324,9.2,1.845,2.1853802,0.3403802,0.11585868055204
6,137,99.6,17.9,25.9,740,343,9.7,1.752,2.2330375,0.4810375,0.23139707640625
7,127.3,88.2,19.5,19.3,1056,310,11.3,1E-08,2.1962497,2.19624969,4.8235127008251
8,132.1,98.8,17.2,26,607,334,5.8,1.628,2.0166824,0.3886824,0.15107400806976
9,108.6,56.7,5.8,24.9,23,148,9.1,3.733,1.9792114,-1.7537886,3.07577445348996
10,106.1,51.5,5.1,13.8,44,308,7.7,4.009,3.6412866,-0.3677134,0.13521314453956
11,103.4,52.1,6,25.4,1,302,6.6,3.789,3.6597862,-0.1292138,0.01669620611044
12,107.8,55.5,5.1,26.6,68,312,8.1,3.96,3.6582665,-0.3017335,0.09104310502225
13,108,58.9,4.5,27.8,3,300,7.2,4.146,3.6639645,-0.4820355,0.23235822326025
14,109.5,59.4,4.8,26.2,19,307,6.5,3.555,3.7043035,0.1493035,0.02229153511225
15,112.7,53.1,4.5,22,80,306,16.3,4.158,3.5873282,-0.5706718,0.32566630331524
16,110.3,62.2,5.4,26.6,15,307,3.1,3.741,3.7123632,-0.0286368,0.00082006631424
17,109.7,58.7,5.1,27.2,10,322,2.2,4.13,3.8722236,-0.2577764,0.06644867239696
18,112.2,58.6,5.3,27.7,92,320,4,3.765,3.6596024,-0.1053976,0.01110865408576
19,109.8,63,7,18.5,44,308,9.4,3.88,3.6578534,-0.2221466,0.04934911189156
20,109.2,57.9,4.5,27.8,28,303,6.9,3.891,3.6448238,-0.2461762,0.06060272144644
21,108.9,63.8,5.1,24.8,129,261,9.9,4.441,2.5875692,-1.8534308,3.43520573038864
22,107.2,57.8,4.7,26.4,50,317,4.1,3.587,3.735312,0.148312,0.021996449344
23,112.6,62.1,6.4,29.6,38,346,7,2.59,4.087967,1.497967,2.243905133089
24,103.3,53.3,5.3,24.3,6,313,8,3.755,3.7643945,0.0093945,8.82566302499995E-05
25,110.5,60.1,6.1,26.7,47,315,3.7,3.484,3.729462,0.245462,0.060251593444
26,132.5,101.2,20.4,21.7,751,327,10.4,2.162,2.1656191,0.0036191,1.30978848099991E-05
,,,,,,,,,,,
,,,,,,,,,,sum,15.5657864640246
,,,,,,,,,,sum by observation,0.598684094770175
,,,,,,,,,,RMSE,1.19736818954035
