Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield,Yield(predicted),P - O,(P-O)^2
1,135.6,99.2,19.5,26.8,704,317,14.7,1.757,1.739,-0.018,0.000324
2,134.8,97.3,19.1,18.6,752,314,12.1,1.916,1.8782,-0.0378,0.00142884
3,130.7,95.3,18.7,26.2,813,322,12.1,2.161,1.7538,-0.4072,0.16581184
4,137,99.8,19.2,25.7,544,276,13.3,1.402,1.5103,0.1083,0.01172889
5,128.3,91.8,19.4,22.8,860,324,9.2,1.845,1.9525,0.1075,0.01155625
6,137,99.6,17.9,25.9,740,343,9.7,1.752,2.0056,0.2536,0.06431296
7,127.3,88.2,19.5,19.3,1056,310,11.3,1E-08,1.5983,1.59829999,2.554562858034
8,132.1,98.8,17.2,26,607,334,5.8,1.628,1.947,0.318999999999999,0.101761
9,108.6,56.7,5.8,24.9,23,148,9.1,3.733,3.8988,0.1658,0.02748964
10,106.1,51.5,5.1,13.8,44,308,7.7,4.009,4.0114,0.0024,5.75999999999873E-06
11,103.4,52.1,6,25.4,1,302,6.6,3.789,3.8764,0.087400000000001,0.00763876
12,107.8,55.5,5.1,26.6,68,312,8.1,3.96,3.8359,-0.124099999999999,0.01540081
13,108,58.9,4.5,27.8,3,300,7.2,4.146,3.8981,-0.247899999999999,0.061454409999999
14,109.5,59.4,4.8,26.2,19,307,6.5,3.555,3.9071,0.352100000000001,0.12397441
15,112.7,53.1,4.5,22,80,306,16.3,4.158,3.9184,-0.2396,0.05740816
16,110.3,62.2,5.4,26.6,15,307,3.1,3.741,3.8386,0.0976,0.00952576
17,109.7,58.7,5.1,27.2,10,322,2.2,4.13,3.8253,-0.3047,0.09284209
18,112.2,58.6,5.3,27.7,92,320,4,3.765,3.8549,0.089900000000001,0.00808201
19,109.8,63,7,18.5,44,308,9.4,3.88,4.0646,0.1846,0.03407716
20,109.2,57.9,4.5,27.8,28,303,6.9,3.891,3.904,0.013000000000001,0.000169
21,108.9,63.8,5.1,24.8,129,261,9.9,4.441,2.924,-1.517,2.301289
22,107.2,57.8,4.7,26.4,50,317,4.1,3.587,3.8357,0.2487,0.06185169
23,112.6,62.1,6.4,29.6,38,346,7,2.59,3.4912,0.9012,0.81216144
24,103.3,53.3,5.3,24.3,6,313,8,3.755,3.9238,0.168800000000001,0.02849344
25,110.5,60.1,6.1,26.7,47,315,3.7,3.484,3.7979,0.3139,0.09853321
26,132.5,101.2,20.4,21.7,751,327,10.4,2.162,2.025,-0.137,0.018769
,,,,,,,,,,,
,,,,,,,,,,sum,6.670652388034
,,,,,,,,,,sum by obsevation,0.256563553385923
,,,,,,,,,,RMSE,0.506521029559408
