Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield,Yield (predicted),P-O,(P-O)^2
1,135.6,99.2,19.5,26.8,704,317,14.7,1.757,2.0033255,0.2463255,0.06067625195025
2,134.8,97.3,19.1,18.6,752,314,12.1,1.916,2.0540845,0.1380845,0.01906732914025
3,130.7,95.3,18.7,26.2,813,322,12.1,2.161,2.1408153,-0.0201847,0.00040742211409
4,137,99.8,19.2,25.7,544,276,13.3,1.402,1.235831,-0.166169,0.027612136561
5,128.3,91.8,19.4,22.8,860,324,9.2,1.845,2.1504276,0.3054276,0.09328601884176
6,137,99.6,17.9,25.9,740,343,9.7,1.752,2.009643,0.257643,0.066379915449
7,127.3,88.2,19.5,19.3,1056,310,11.3,1E-08,1.9576323,1.95763229,3.83232418285064
8,132.1,98.8,17.2,26,607,334,5.8,1.628,1.9023631,0.2743631,0.07527511064161
9,108.6,56.7,5.8,24.9,23,148,9.1,3.733,3.8888564,0.1558564,0.02429121742096
10,106.1,51.5,5.1,13.8,44,308,7.7,4.009,4.130694,0.121694,0.014809429636
11,103.4,52.1,6,25.4,1,302,6.6,3.789,3.9289079,0.1399079,0.01957422048241
12,107.8,55.5,5.1,26.6,68,312,8.1,3.96,3.8486805,-0.1113195,0.01239203108025
13,108,58.9,4.5,27.8,3,300,7.2,4.146,3.9042895,-0.2417105,0.05842396581025
14,109.5,59.4,4.8,26.2,19,307,6.5,3.555,3.8489819,0.2939819,0.08642535752761
15,112.7,53.1,4.5,22,80,306,16.3,4.158,3.9272435,-0.2307565,0.05324856229225
16,110.3,62.2,5.4,26.6,15,307,3.1,3.741,3.9733496,0.2323496,0.05398633662016
17,109.7,58.7,5.1,27.2,10,322,2.2,4.13,3.6773903,-0.4526097,0.20485554053409
18,112.2,58.6,5.3,27.7,92,320,4,3.765,3.7150514,-0.0499486,0.00249486264196
19,109.8,63,7,18.5,44,308,9.4,3.88,3.8180623,-0.0619377,0.00383627868129
20,109.2,57.9,4.5,27.8,28,303,6.9,3.891,3.8222103,-0.0687897,0.00473202282609
21,108.9,63.8,5.1,24.8,129,261,9.9,4.441,3.1880631,-1.2529369,1.56985087538161
22,107.2,57.8,4.7,26.4,50,317,4.1,3.587,3.8519602,0.2649602,0.07020390758404
23,112.6,62.1,6.4,29.6,38,346,7,2.59,2.5814614,-0.0085386,7.29076899599935E-05
24,103.3,53.3,5.3,24.3,6,313,8,3.755,3.9082077,0.1532077,0.02347259933929
25,110.5,60.1,6.1,26.7,47,315,3.7,3.484,3.8451385,0.3611385,0.13042101618225
26,132.5,101.2,20.4,21.7,751,327,10.4,2.162,2.1545374,-0.0074626,5.56903987599965E-05
,,,,,,,,,,,
,,,,,,,,,,sum,6.50817518967783
,,,,,,,,,,sum by observation,0.250314430372224
,,,,,,,,,,RMSE,0.50031433156789
