Id,Yield
1,2.0033255
2,2.0540845
3,2.1408153
4,1.235831
5,2.1504276
6,2.009643
7,1.9576323
8,1.9023631
9,3.8888564
10,4.130694
11,3.9289079
12,3.8486805
13,3.9042895
14,3.8489819
15,3.9272435
16,3.9733496
17,3.6773903
18,3.7150514
19,3.8180623
20,3.8222103
21,3.1880631
22,3.8519602
23,2.5814614
24,3.9082077
25,3.8451385
26,2.1545374
27,2.0395684
28,2.0979087
29,2.0379128
30,1.9201535
31,2.2690053
32,1.7479839
33,1.9223026
34,2.2810857
35,2.1284313
36,1.6190245
37,2.2840445
38,1.6413614
39,2.0962238
40,1.9427651
41,1.879402
42,1.9751463
43,1.2900097
44,1.9980247
45,1.8752968
46,1.3065467
47,1.5593122
48,1.3548166
49,1.5550416
50,1.6696824
51,1.7704295
