Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield,Yield (predicted),P-O,(P-O)^2
1,129.5,100,20.7,20.8,835,331,6.9,2.606,2.2210596,-0.3849404,0.14817911155216
2,131,101.9,18.1,23.7,973,333,8.8,1.948,2.2837596,0.3357596,0.11273450899216
3,135.1,99.9,17.8,18.3,808,328,20.9,2.38,2.2055862,-0.1744138,0.03042017363044
4,132.2,102.8,20.4,22.3,874,335,5.9,2.235,2.2629497,0.0279497,0.00078118573009
5,131.4,101,21.5,23.4,797,339,2.4,1.479,2.2369745,0.7579745,0.57452534265025
6,133.2,99.9,19.1,24.2,423,336,8.8,2.666,1.7273563,-0.9386437,0.88105199554969
7,131.7,120.1,18.1,22.3,718,337,5.2,2.799,2.2059639,-0.5930361,0.35169181590321
8,132.3,100.2,19.5,20.7,809,334,8.2,2.006,2.2278054,0.2218054,0.04919763546916
9,129.3,102,21.3,21.7,866,347,5.2,2.028,2.312842,0.284842,0.081134964964
10,130,102.3,22.6,19.3,969,333,10,1.562,2.2945726,0.7325726,0.53666261427076
11,131.2,100.5,20.8,24.9,737,333,7,2.389,2.178911,-0.210089,0.044137387921
12,131,103.5,21.6,18.9,850,308,9.4,1.438,2.1353428,0.6973428,0.48628698071184
13,127.9,101.1,22.4,18.9,1185,342,7.3,2.151,2.4062593,0.2552593,0.06515731023649
14,130.2,101.8,20.3,21.4,1389,372,6.7,1.704,2.5179052,0.8139052,0.66244167458704
15,128.5,100,22.9,21.3,1040,332,10,2.646,2.30551,-0.34049,0.1159334401
16,127.6,101.6,20.2,21.5,1118,348,3.3,1.89,2.3922076,0.5022076,0.25221247349776
17,135.3,95,15.1,22.4,497,295,13.8,1.959,1.8463764,-0.1126236,0.01268407527696
18,132,89.8,16.8,26,805,296,7.6,1.986,2.0195816,0.0335816,0.00112772385856
19,138.4,97.5,13.6,27.8,975,299,12.4,0.896,2.1229773,1.2269773,1.50547329471529
20,143.8,98,13.4,19.7,521,297,27,2.369,2.0136695,-0.3553305,0.12625976423025
21,140.2,100.1,16,29.5,468,303,9.3,1.514,1.7867154,0.2727154,0.07437368939716
22,137.5,96.7,17.8,27.3,523,312,3.2,0.896,1.8285483,0.9325483,0.86964633183289
23,145.1,94.7,13.7,27.4,325,284,9.4,2.156,1.666109,-0.489891,0.239993191881
24,140.1,101,13.2,27.4,558,305,9.4,2.422,1.9558297,-0.4661703,0.21731474860209
25,137.4,93.4,16.4,26.2,873,301,11.9,0.878,2.0864487,1.2084487,1.46034826053169
,,,,,,,,,,,
,,,,,,,,,,sum,8.89976969609194
,,,,,,,,,,sum by observation,0.355990787843678
,,,,,,,,,,RMSE,0.596649635752573
