Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield,Yield(predicted),P - O,(P-O)^2
1,129.5,100,20.7,20.8,835,331,6.9,2.606,1.9486,-0.6574,0.43217476
2,131,101.9,18.1,23.7,973,333,8.8,1.948,2.1865,0.2385,0.05688225
3,135.1,99.9,17.8,18.3,808,328,20.9,2.38,2.046,-0.334,0.111556
4,132.2,102.8,20.4,22.3,874,335,5.9,2.235,2.1741,-0.0609,0.00370881
5,131.4,101,21.5,23.4,797,339,2.4,1.479,2.0892,0.6102,0.37234404
6,133.2,99.9,19.1,24.2,423,336,8.8,2.666,2.0966,-0.5694,0.32421636
7,131.7,120.1,18.1,22.3,718,337,5.2,2.799,2.3801,-0.4189,0.17547721
8,132.3,100.2,19.5,20.7,809,334,8.2,2.006,2.1146,0.1086,0.01179396
9,129.3,102,21.3,21.7,866,347,5.2,2.028,2.2301,0.2021,0.04084441
10,130,102.3,22.6,19.3,969,333,10,1.562,1.9532,0.3912,0.15303744
11,131.2,100.5,20.8,24.9,737,333,7,2.389,2.0344,-0.3546,0.12574116
12,131,103.5,21.6,18.9,850,308,9.4,1.438,1.8902,0.4522,0.20448484
13,127.9,101.1,22.4,18.9,1185,342,7.3,2.151,1.9864,-0.1646,0.02709316
14,130.2,101.8,20.3,21.4,1389,372,6.7,1.704,2.2566,0.5526,0.30536676
15,128.5,100,22.9,21.3,1040,332,10,2.646,1.9867,-0.6593,0.43467649
16,127.6,101.6,20.2,21.5,1118,348,3.3,1.89,1.9766,0.0866,0.00749956
17,135.3,95,15.1,22.4,497,295,13.8,1.959,1.7643,-0.1947,0.03790809
18,132,89.8,16.8,26,805,296,7.6,1.986,1.5625,-0.4235,0.17935225
19,138.4,97.5,13.6,27.8,975,299,12.4,0.896,1.7643,0.8683,0.75394489
20,143.8,98,13.4,19.7,521,297,27,2.369,1.8832,-0.4858,0.23600164
21,140.2,100.1,16,29.5,468,303,9.3,1.514,1.6682,0.1542,0.02377764
22,137.5,96.7,17.8,27.3,523,312,3.2,0.896,1.6294,0.7334,0.53787556
23,145.1,94.7,13.7,27.4,325,284,9.4,2.156,1.7698,-0.3862,0.14915044
24,140.1,101,13.2,27.4,558,305,9.4,2.422,1.8511,-0.570900000000001,0.325926810000001
25,137.4,93.4,16.4,26.2,873,301,11.9,0.878,1.5304,0.6524,0.42562576
,,,,,,,,,,,
,,,,,,,,,,sum,5.45646029
,,,,,,,,,,sum by obsevation,0.2182584116
,,,,,,,,,,RMSE,0.467181347658487
