Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield
1,129,101.6,19.9,19.6,1116,335.6,2.9,2.151
2,131.8,99.8,19.6,20.5,1022,327,12.1,2.049
3,127.8,100.4,20.8,21.3,1109,340.2,2.3,2.461
4,130,99,20.1,23.8,1147,329,6.4,2.364
5,127.3,101.7,19.6,21.8,1000,337.9,2.3,1.874
6,129.8,100.1,18.8,21.4,1477,335,7.9,1.949
7,131.9,99.8,18.5,16.6,1257,344.8,5.7,2.451
8,133.7,96.6,16.9,16.3,1192,334,17.7,2.271
9,128.4,102.9,21.9,19.9,1069,346,1.8,1.983
10,130.5,100.2,21,19,1383,339,5.3,2.448
11,126.8,102.6,20.6,21.5,1197,348.3,2.1,1.278
12,129.8,99.2,21,21.1,1090,340,2.7,1.628
13,129.8,100.8,20.3,22.9,868,346.2,3.4,2.587
14,131.9,98.4,19.9,22.7,750,338,7.8,2.557
15,128.1,100.8,19.1,3,982,346.9,1.8,2.612
16,130.9,96.8,18.8,19.7,1182,337,5,2.3
17,128.4,101.2,20.2,20,1164,339.2,3.6,1.811
18,132,98.4,20,20.3,928,333,10,1.844
19,126,101.3,22,18.5,1458,353.4,3.1,1.859
20,128.2,99.1,21.8,20.1,1390,351,7.7,1.842
21,126.8,101.8,23.2,16.1,1515,344.9,1.8,1.653
22,129,98.8,21.9,17.3,1084,339,8.8,1.899
23,126.3,99.6,22.3,23.3,1344,340.3,5.8,2.118
24,129.7,97.4,21.2,23.5,1243,337,8.2,2.291
25,127.9,102.8,22.9,17.3,1388,325.5,3.6,1.784
26,129.5,101.1,22.1,18.9,1530,316,10.1,1.419
27,126,101.6,22.6,18.2,1128,351.7,3.9,2.102
28,128.1,99.5,21.6,20.5,1050,339,6.9,1.799
29,126.4,101.7,20.6,19.4,2117,358.9,2.7,1.351
30,128,99.6,20.7,19.6,1765,355,7.8,1.664
31,126.3,100.1,22.2,19.6,1030,343.6,3.5,2.278
32,129.2,98.7,21,22.2,1444,338,10.3,2.39
33,124.8,101.5,20.1,19.2,1479,359.6,2,1.817
34,125,99.3,20.2,19.4,1357,356,4.3,1.733
35,131.5,93.9,14.1,22.9,648,305.1,4.6,2.066
36,133.9,90.2,12.2,25,385,288,11.4,1.685
37,127.7,89.7,15.6,28.9,629,308.9,3.4,2.416
38,129.7,86.8,13.7,29,877,293,7.3,2.019
39,134.5,95.7,13.8,28.9,356,305.1,3.7,0.983
40,139,93.1,11.8,29.5,676,286,10.7,0.931
41,139.4,94,14.7,24.5,526,312.3,7.7,2.314
42,144.9,92.4,10.9,25.1,387,293,24.7,2.19
43,135.9,98.4,16.5,28.4,425,311.9,2.1,1.509
44,140.2,97.1,13.3,30.6,396,297,10,1.416
45,133.8,96.6,15.6,26.8,427,320.5,2.6,1.117
46,137.5,93.6,14,29.7,478,310,4.8,1
47,137.6,93.1,13.6,28.4,421,297.9,4,2.309
48,142.4,90.4,12.4,30.7,285,276,8.9,2.061
49,136.4,97,14.5,28.8,430,310.8,3.5,1.853
50,139.8,95.2,11.6,29.4,249,297,8.4,2.167
51,131.9,93.4,14.9,26.9,615,310.1,4.1,1.038
52,136.7,89.6,13,28,463,293,11.3,0.858
53,132.7,97.3,17.5,26.1,341,328.2,4.8,1.371
54,136,96.2,15.6,29.6,397,314,13.7,1.546
55,132.8,96.3,18.3,26.3,564,316.3,1.9,1.885
56,136.4,94.2,17.3,22.9,458,305,9.4,1.783
57,129.5,92.5,16.8,28.1,672,326.6,5.2,1.971
58,132.9,92,15.6,29.7,581,316,10.7,2.106
59,133.4,97.7,17.6,26.3,918,284.7,5.2,1.326
60,138,96.6,15.9,28,395,265,15.2,1.502
61,126,92.8,17.8,23,1076,328.1,4.9,1.784
62,128.9,89.8,15.2,24.3,612,320,8,1.436
63,134.1,97,15.8,26,343,327.9,3.6,1.572
64,137.2,96.8,14.4,29.8,533,322,9,1.558
65,124.7,89.1,17.6,25.1,840,317.3,5.1,1E-08
