Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield,Yield (predicted),P -O,(P-O)^2
1,129,101.6,19.9,19.6,1116,335.6,2.9,2.151,1.9740478,-0.1769522,0.03131208108484
2,131.8,99.8,19.6,20.5,1022,327,12.1,2.049,1.8629073,-0.1860927,0.03463049299329
3,127.8,100.4,20.8,21.3,1109,340.2,2.3,2.461,1.9428377,-0.5181623,0.26849216914129
4,130,99,20.1,23.8,1147,329,6.4,2.364,2.0661843,-0.2978157,0.08869419116649
5,127.3,101.7,19.6,21.8,1000,337.9,2.3,1.874,1.7592684,-0.1147316,0.01316334003856
6,129.8,100.1,18.8,21.4,1477,335,7.9,1.949,1.7884033,-0.1605967,0.02579130005089
7,131.9,99.8,18.5,16.6,1257,344.8,5.7,2.451,2.1542912,-0.2967088,0.08803611199744
8,133.7,96.6,16.9,16.3,1192,334,17.7,2.271,2.2060387,-0.0649613,0.00421997049769
9,128.4,102.9,21.9,19.9,1069,346,1.8,1.983,1.8621682,-0.1208318,0.01460032389124
10,130.5,100.2,21,19,1383,339,5.3,2.448,1.879126,-0.568874,0.323617627876
11,126.8,102.6,20.6,21.5,1197,348.3,2.1,1.278,2.0481648,0.7701648,0.59315381915904
12,129.8,99.2,21,21.1,1090,340,2.7,1.628,1.9265131,0.2985131,0.08911007087161
13,129.8,100.8,20.3,22.9,868,346.2,3.4,2.587,1.6931984,-0.8938016,0.79888130016256
14,131.9,98.4,19.9,22.7,750,338,7.8,2.557,2.0009959,-0.5560041,0.30914055921681
15,128.1,100.8,19.1,3,982,346.9,1.8,2.612,2.0150816,-0.5969184,0.35631157625856
16,130.9,96.8,18.8,19.7,1182,337,5,2.3,2.1045992,-0.1954008,0.03818147264064
17,128.4,101.2,20.2,20,1164,339.2,3.6,1.811,2.0510437,0.2400437,0.05762097790969
18,132,98.4,20,20.3,928,333,10,1.844,1.586886,-0.257114,0.066107608996
19,126,101.3,22,18.5,1458,353.4,3.1,1.859,1.783022,-0.075978,0.005772656484
20,128.2,99.1,21.8,20.1,1390,351,7.7,1.842,2.0280287,0.1860287,0.03460667722369
21,126.8,101.8,23.2,16.1,1515,344.9,1.8,1.653,1.6055063,-0.0474937,0.00225565153969
22,129,98.8,21.9,17.3,1084,339,8.8,1.899,1.9674441,0.0684441,0.00468459482481
23,126.3,99.6,22.3,23.3,1344,340.3,5.8,2.118,1.9726702,-0.1453298,0.02112075076804
24,129.7,97.4,21.2,23.5,1243,337,8.2,2.291,2.2007763,-0.0902237,0.00814031604169
25,127.9,102.8,22.9,17.3,1388,325.5,3.6,1.784,1.7074555,-0.0765445,0.00585906048025
26,129.5,101.1,22.1,18.9,1530,316,10.1,1.419,1.6173013,0.1983013,0.03932340558169
27,126,101.6,22.6,18.2,1128,351.7,3.9,2.102,1.9620317,-0.1399683,0.01959112500489
28,128.1,99.5,21.6,20.5,1050,339,6.9,1.799,1.8909467,0.0919467,0.00845419564089
29,126.4,101.7,20.6,19.4,2117,358.9,2.7,1.351,1.2727097,-0.0782903,0.00612937107409
