Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield,Yield (predicted),P -O,(P-O)^2
1,129,101.6,19.9,19.6,1116,335.6,2.9,2.151,2.086,-0.065,0.004225
2,131.8,99.8,19.6,20.5,1022,327,12.1,2.049,1.9929,-0.0561,0.00314721
3,127.8,100.4,20.8,21.3,1109,340.2,2.3,2.461,1.9434,-0.5176,0.26790976
4,130,99,20.1,23.8,1147,329,6.4,2.364,2.1847,-0.1793,0.03214849
5,127.3,101.7,19.6,21.8,1000,337.9,2.3,1.874,1.9432,0.0692,0.00478864
6,129.8,100.1,18.8,21.4,1477,335,7.9,1.949,2.0503,0.1013,0.01026169
7,131.9,99.8,18.5,16.6,1257,344.8,5.7,2.451,2.2646,-0.1864,0.03474496
8,133.7,96.6,16.9,16.3,1192,334,17.7,2.271,2.1636,-0.1074,0.01153476
9,128.4,102.9,21.9,19.9,1069,346,1.8,1.983,1.6671,-0.3159,0.09979281
10,130.5,100.2,21,19,1383,339,5.3,2.448,2.2066,-0.2414,0.05827396
11,126.8,102.6,20.6,21.5,1197,348.3,2.1,1.278,1.6439,0.3659,0.13388281
12,129.8,99.2,21,21.1,1090,340,2.7,1.628,1.9616,0.3336,0.11128896
13,129.8,100.8,20.3,22.9,868,346.2,3.4,2.587,2.4282,-0.1588,0.02521744
14,131.9,98.4,19.9,22.7,750,338,7.8,2.557,2.3885,-0.1685,0.02839225
15,128.1,100.8,19.1,3,982,346.9,1.8,2.612,2.2976,-0.3144,0.09884736
16,130.9,96.8,18.8,19.7,1182,337,5,2.3,2.1807,-0.1193,0.01423249
17,128.4,101.2,20.2,20,1164,339.2,3.6,1.811,1.89,0.079,0.006241
18,132,98.4,20,20.3,928,333,10,1.844,2.0363,0.1923,0.03697929
19,126,101.3,22,18.5,1458,353.4,3.1,1.859,2.0063,0.1473,0.02169729
20,128.2,99.1,21.8,20.1,1390,351,7.7,1.842,1.9471,0.1051,0.01104601
21,126.8,101.8,23.2,16.1,1515,344.9,1.8,1.653,1.9882,0.335199999999999,0.11235904
22,129,98.8,21.9,17.3,1084,339,8.8,1.899,1.8847,-0.0143,0.00020449
23,126.3,99.6,22.3,23.3,1344,340.3,5.8,2.118,2.073,-0.045,0.002025
24,129.7,97.4,21.2,23.5,1243,337,8.2,2.291,2.2425,-0.0485,0.00235225
25,127.9,102.8,22.9,17.3,1388,325.5,3.6,1.784,1.795,0.011,0.000121
26,129.5,101.1,22.1,18.9,1530,316,10.1,1.419,1.9398,0.5208,0.27123264
27,126,101.6,22.6,18.2,1128,351.7,3.9,2.102,2.1402,0.0382,0.00145924
28,128.1,99.5,21.6,20.5,1050,339,6.9,1.799,1.963,0.164,0.026896
29,126.4,101.7,20.6,19.4,2117,358.9,2.7,1.351,1.6294,0.2784,0.07750656
30,128,99.6,20.7,19.6,1765,355,7.8,1.664,1.9699,0.3059,0.09357481
31,126.3,100.1,22.2,19.6,1030,343.6,3.5,2.278,2.1695,-0.1085,0.01177225
32,129.2,98.7,21,22.2,1444,338,10.3,2.39,2.2186,-0.1714,0.02937796
33,124.8,101.5,20.1,19.2,1479,359.6,2,1.817,1.8727,0.0557,0.00310249
34,125,99.3,20.2,19.4,1357,356,4.3,1.733,1.8453,0.1123,0.01261129
35,131.5,93.9,14.1,22.9,648,305.1,4.6,2.066,2.0549,-0.0111,0.00012321
36,133.9,90.2,12.2,25,385,288,11.4,1.685,1.8214,0.1364,0.01860496
37,127.7,89.7,15.6,28.9,629,308.9,3.4,2.416,1.869,-0.547,0.299209
38,129.7,86.8,13.7,29,877,293,7.3,2.019,1.717,-0.302,0.091204
39,134.5,95.7,13.8,28.9,356,305.1,3.7,0.983,1.6297,0.6467,0.41822089
40,139,93.1,11.8,29.5,676,286,10.7,0.931,1.7599,0.828899999999999,0.687075209999999
41,139.4,94,14.7,24.5,526,312.3,7.7,2.314,1.7891,-0.5249,0.27552001
42,144.9,92.4,10.9,25.1,387,293,24.7,2.19,2.1632,-0.0268,0.00071824
43,135.9,98.4,16.5,28.4,425,311.9,2.1,1.509,1.6167,0.1077,0.01159929
44,140.2,97.1,13.3,30.6,396,297,10,1.416,1.6886,0.2726,0.07431076
45,133.8,96.6,15.6,26.8,427,320.5,2.6,1.117,1.5671,0.4501,0.20259001
46,137.5,93.6,14,29.7,478,310,4.8,1,1.3334,0.3334,0.11115556
47,137.6,93.1,13.6,28.4,421,297.9,4,2.309,1.686,-0.623,0.388129
