Id,Max_temp,Min_temp,Cloud_coverge,Sunshine,Rainfall,Humidity,Windspeed,Yield,Yield (predicted),P -O,(P-O)^2
1,129,101.6,19.9,19.6,1116,335.6,2.9,2.151,2.058566,-0.092434,0.008544044356
2,131.8,99.8,19.6,20.5,1022,327,12.1,2.049,2.0379348,-0.0110652,0.00012243865104
3,127.8,100.4,20.8,21.3,1109,340.2,2.3,2.461,1.9241147,-0.5368853,0.28824582535609
4,130,99,20.1,23.8,1147,329,6.4,2.364,2.3037257,-0.0602743,0.00363299124049
5,127.3,101.7,19.6,21.8,1000,337.9,2.3,1.874,1.8515856,-0.0224144,0.00050240532736
6,129.8,100.1,18.8,21.4,1477,335,7.9,1.949,1.9853146,0.0363146,0.00131875017316
7,131.9,99.8,18.5,16.6,1257,344.8,5.7,2.451,2.3148859,-0.1361141,0.01852704821881
8,133.7,96.6,16.9,16.3,1192,334,17.7,2.271,2.2221732,-0.0488268,0.00238405639824
9,128.4,102.9,21.9,19.9,1069,346,1.8,1.983,1.4719309,-0.5110691,0.26119162497481
10,130.5,100.2,21,19,1383,339,5.3,2.448,2.3331738,-0.1148262,0.01318505620644
11,126.8,102.6,20.6,21.5,1197,348.3,2.1,1.278,1.3816569,0.1036569,0.01074475291761
12,129.8,99.2,21,21.1,1090,340,2.7,1.628,1.7765737,0.1485737,0.02207414433169
13,129.8,100.8,20.3,22.9,868,346.2,3.4,2.587,2.4455633,-0.1414367,0.02000434010689
14,131.9,98.4,19.9,22.7,750,338,7.8,2.557,2.4036279,-0.1533721,0.02352300105841
15,128.1,100.8,19.1,3,982,346.9,1.8,2.612,2.587743,-0.024257,0.000588402049
16,130.9,96.8,18.8,19.7,1182,337,5,2.3,2.269178,-0.030822,0.000949995684
17,128.4,101.2,20.2,20,1164,339.2,3.6,1.811,1.9175751,0.1065751,0.01135825194001
18,132,98.4,20,20.3,928,333,10,1.844,1.9447365,0.1007365,0.01014784243225
19,126,101.3,22,18.5,1458,353.4,3.1,1.859,1.9065617,0.0475617,0.00226211530689
20,128.2,99.1,21.8,20.1,1390,351,7.7,1.842,1.8107977,-0.0312023,0.00097358352529
21,126.8,101.8,23.2,16.1,1515,344.9,1.8,1.653,1.5897325,-0.0632675,0.00400277655625
22,129,98.8,21.9,17.3,1084,339,8.8,1.899,1.9449835,0.0459835,0.00211448227225
23,126.3,99.6,22.3,23.3,1344,340.3,5.8,2.118,2.1103556,-0.0076444,5.84368513599965E-05
24,129.7,97.4,21.2,23.5,1243,337,8.2,2.291,2.2190042,-0.0719958,0.00518339521764
25,127.9,102.8,22.9,17.3,1388,325.5,3.6,1.784,1.5900298,-0.1939702,0.03762443848804
26,129.5,101.1,22.1,18.9,1530,316,10.1,1.419,1.5140138,0.0950138,0.00902762219044
27,126,101.6,22.6,18.2,1128,351.7,3.9,2.102,2.0355606,-0.0664394,0.00441419387236
28,128.1,99.5,21.6,20.5,1050,339,6.9,1.799,1.8617474,0.0627474,0.00393723620676
29,126.4,101.7,20.6,19.4,2117,358.9,2.7,1.351,1.3452368,-0.0057632,3.32144742400009E-05
30,128,99.6,20.7,19.6,1765,355,7.8,1.664,1.5354272,-0.1285728,0.01653096489984
31,126.3,100.1,22.2,19.6,1030,343.6,3.5,2.278,2.2237754,-0.0542246,0.00294030724516
32,129.2,98.7,21,22.2,1444,338,10.3,2.39,2.2758193,-0.1141807,0.01303723225249
33,124.8,101.5,20.1,19.2,1479,359.6,2,1.817,1.7801613,-0.0368387,0.00135708981769
34,125,99.3,20.2,19.4,1357,356,4.3,1.733,1.816997,0.083997,0.007055496009
35,131.5,93.9,14.1,22.9,648,305.1,4.6,2.066,2.1156416,0.0496416,0.00246428845056
36,133.9,90.2,12.2,25,385,288,11.4,1.685,1.8266431,0.1416431,0.02006276777761
37,127.7,89.7,15.6,28.9,629,308.9,3.4,2.416,2.3403492,-0.0756508,0.00572304354064
38,129.7,86.8,13.7,29,877,293,7.3,2.019,2.0216923,0.0026923,7.2484792899981E-06
39,134.5,95.7,13.8,28.9,356,305.1,3.7,0.983,1.782883,0.799883,0.639812813689
40,139,93.1,11.8,29.5,676,286,10.7,0.931,2.1975813,1.2665813,1.60422818950969
41,139.4,94,14.7,24.5,526,312.3,7.7,2.314,1.476603,-0.837397,0.701233735609
42,144.9,92.4,10.9,25.1,387,293,24.7,2.19,2.142719,-0.047281,0.002235492961
43,135.9,98.4,16.5,28.4,425,311.9,2.1,1.509,1.5850974,0.0760974,0.00579081428676
44,140.2,97.1,13.3,30.6,396,297,10,1.416,1.464129,0.048129,0.002316400641
45,133.8,96.6,15.6,26.8,427,320.5,2.6,1.117,1.4857517,0.3687517,0.13597781625289
46,137.5,93.6,14,29.7,478,310,4.8,1,1.1921244,0.1921244,0.03691178507536
47,137.6,93.1,13.6,28.4,421,297.9,4,2.309,2.1364853,-0.1725147,0.02976132171609
48,142.4,90.4,12.4,30.7,285,276,8.9,2.061,2.0619602,0.0009602,9.21984040000362E-07
49,136.4,97,14.5,28.8,430,310.8,3.5,1.853,1.785864,-0.067136,0.004507242496
50,139.8,95.2,11.6,29.4,249,297,8.4,2.167,2.140692,-0.026308,0.000692110864
51,131.9,93.4,14.9,26.9,615,310.1,4.1,1.038,1.9123925,0.8743925,0.76456224405625
52,136.7,89.6,13,28,463,293,11.3,0.858,0.88853335,0.03053335,0.000932285462223
53,132.7,97.3,17.5,26.1,341,328.2,4.8,1.371,1.590826,0.219826,0.048323470276
54,136,96.2,15.6,29.6,397,314,13.7,1.546,1.6383325,0.0923325,0.00852529055625
55,132.8,96.3,18.3,26.3,564,316.3,1.9,1.885,1.8401533,-0.0448467,0.00201122650089
56,136.4,94.2,17.3,22.9,458,305,9.4,1.783,1.3983059,-0.3846941,0.14798955057481
57,129.5,92.5,16.8,28.1,672,326.6,5.2,1.971,1.9754452,0.0044452,1.97598030399974E-05
58,132.9,92,15.6,29.7,581,316,10.7,2.106,1.9832342,-0.1227658,0.01507144164964
59,133.4,97.7,17.6,26.3,918,284.7,5.2,1.326,1.4494457,0.1234457,0.01523884084849
60,138,96.6,15.9,28,395,265,15.2,1.502,1.499942,-0.002058,4.23536400000048E-06
61,126,92.8,17.8,23,1076,328.1,4.9,1.784,1.8680043,0.0840043,0.00705672241849
62,128.9,89.8,15.2,24.3,612,320,8,1.436,1.6532675,0.2172675,0.04720516655625
63,134.1,97,15.8,26,343,327.9,3.6,1.572,1.6144295,0.0424295,0.00180026247025
64,137.2,96.8,14.4,29.8,533,322,9,1.558,1.4754329,-0.0825671,0.00681732600241
65,124.7,89.1,17.6,25.1,840,317.3,5.1,1E-08,1.9093242,1.90932419,3.64551886251916
66,127.4,86.8,15.3,24,773,304,11.6,1E-08,2.0726318,2.07263179,4.2958025369186
67,129.9,97,15.2,25.4,495,337,3,1.317,1.4295373,0.1125373,0.01266464389129
68,133.4,96.3,13.3,27.8,542,329,6.6,1.202,1.2603028,0.0583028,0.00339921648784
69,105.8,59.5,5.8,21.5,27,311,1.5,4.145,4.0133724,-0.1316276,0.01732582508176
70,109.9,57.8,3.8,25,3,299,8.1,3.987,3.879535,-0.107465,0.011548726225
71,104,54.6,6.2,28,26,317.8,2.1,4.123,3.8499446,-0.2730554,0.07455925146916
72,109.1,53,3.3,26.4,8,308,7.7,3.83,3.8241186,-0.0058814,3.4590865960003E-05
73,101.3,55.9,7.1,25,34,318.9,1.9,3.81,3.805359,-0.004641,2.1538880999999E-05
74,104.9,54.7,4.4,23.5,1,310,5.8,3.777,3.9498813,0.1728813,0.02988794388969
75,103.9,58.5,5.9,24.1,77,322.4,1.2,3.868,3.8927615,0.0247615,0.00061313188225
76,109.1,56.9,3.9,22.4,0,312,7.4,3.923,3.9388669,0.0158669,0.00025175851561
77,105.4,61.3,5.9,25.6,87,312.4,1,4.121,4.038639,-0.082361000000001,0.006783334321
78,111.2,60.1,3.2,27.7,0,299,5.7,3.889,3.8639925,-0.0250075,0.00062537505625
79,107.5,60.6,4.3,15.3,131,317.3,1.2,3.552,3.6311483,0.0791483,0.00626445339289
80,113.3,60.7,3.4,27,19,311,6,3.615,3.675174,0.060174,0.003620910276
81,110.5,55.8,4.5,24.8,105,321.8,0.9,3.947,3.8907957,-0.0562043,0.00315892333849
82,116.6,54.1,2.3,22.3,5,310,8.2,4.009,3.9571526,-0.051847400000001,0.00268815288676
83,107.6,65.1,4.9,27,102,318.7,0.5,3.509,3.4802923,-0.0287077,0.00082413203929
84,112.6,64.8,3.6,29.3,27,312,3.7,3.683,3.3247983,-0.3582017,0.12830845788289
85,108.4,62.7,5.7,28.6,55,317.4,0.6,3.999,3.995889,-0.003111,9.67832100000054E-06
86,113.9,60.5,3.7,29.1,12,315,0.7,3.893,3.8829892,-0.0100108,0.00010021611664
87,108.4,61.2,4.8,28.9,65,327.7,1.2,3.719,3.601593,-0.117407,0.013784403649
88,114.2,60.7,3.9,30,33,319,5.8,3.464,3.4929883,0.0289883,0.00084032153689
89,108,65.9,7.5,21,61,310.8,1,3.466,3.4741528,0.0081528,6.64681478399993E-05
90,112.2,64.6,7,15,4,305,6.8,4.095,4.0438557,-0.0511443,0.00261573942249
91,107,61.6,5.7,28.7,41,314.7,2,3.72,3.9256358,0.2056358,0.04228608224164
